district_name,state_name,grade_10_avg_performance,g3_lang,g3_math,g3_evs,g5_lang,g5_math,g5_evs,g8_lang,g8_math,g8_sci,g8_sst,g3_avg,g5_avg,g8_avg,growth_g3_g5,growth_g5_g8,performance_std,Performance_Class,state_encoded
Baghpat,Uttar Pradesh,36.607862096666665,62.676627,57.4064295,62.8487813,54.588978,47.4553516,45.914833615384616,50.54183,35.56337945,35.22509108333333,35.744930227272725,60.97727926666666,49.31972107179487,39.26880769015151,-11.65755819487179,-10.050913381643362,10.864140256370083,Medium,34
Bahraich,Uttar Pradesh,31.41056134333333,58.0293505,52.90886625,56.6790626,62.16576,49.75381746666667,52.74075076923077,46.58378,31.1390227,34.03615333333334,35.34019577272727,55.87242645,54.88677607863249,36.77478795151515,-0.9856503713675124,-18.111988127117336,10.75279356562925,Low,34
Baksa,Assam,36.34443246333334,63.991591,56.95796683333333,64.0925723,50.686813,41.26059786666666,47.039341692307694,52.340813,40.76742065,41.31303441666667,41.479020181818186,61.680710044444446,46.32891751965812,43.97507206212121,-15.351792524786326,-2.353845457536913,9.61515937225466,Medium,3
Balaghat,Madhya Pradesh,36.00442715,65.038445,60.41020891666667,63.431663,54.23935,42.299792466666666,45.72262307692308,51.555553,38.0062619,37.12996875,39.78477918181818,62.9601056388889,47.42058851452992,41.61914070795454,-15.53951712435898,-5.801447806575375,11.034568208543808,Medium,20
Balasore,Odisha,36.93915238,66.553335,62.18575616666666,63.68644919999999,49.680134,45.0480922,44.49197076923077,54.3611,38.52091295,40.66819933333333,38.768082681818186,64.14184678888888,46.40673232307692,43.07957374128788,-17.735114465811968,-3.3271585817890355,11.32271768963857,Medium,26
Ballari,Karnataka,36.42906506,65.2948175,59.33385175,63.1106102,61.84264,49.612842666666666,49.31287546153847,48.5053,35.38680705,38.23375866666667,39.56713036363636,62.579759816666666,53.58945270940171,40.42324902007575,-8.990307107264954,-13.16620368932596,11.143649253806773,Medium,16
Ballia,Uttar Pradesh,34.00777441666666,59.43308,57.693413666666665,58.0159641,56.012012,44.370679,45.997709,46.89622,35.78233925,35.813072,35.00533004545454,58.38081925555556,48.79346666666667,38.37424032386364,-9.58735258888889,-10.419226342803029,10.006171493935248,Low,34
Balod,Chhattisgarh,33.89086807333333,49.9659235,43.91317883333334,50.3652353,51.70729,37.82479693333333,42.175709,53.670246,29.1680315,35.25803825,37.1913585,48.08144587777778,43.902598644444446,38.8219185625,-4.178847233333336,-5.080680081944443,4.637077391291847,Low,6
Balodabazar,Chhattisgarh,31.067733496666666,50.5555485,44.58903083333333,47.0926062,44.070103,30.3601812,35.560997,44.265892,26.3406336,31.893602916666666,32.22614059090909,47.412395177777775,36.6637604,33.68156727689394,-10.748634777777774,-2.9821931231060645,7.222214114028618,Low,6
Balrampur,Chhattisgarh,32.551091705,55.1653925,49.51903008333333,50.6635506,52.650707,40.59187706666667,47.22976338461539,44.55621,29.80399615,33.56875866666667,35.85126790909091,51.782657727777774,46.82411581709402,35.94505818143939,-4.958541910683756,-10.879057635654624,8.101137701068907,Low,6
Balrampur,Uttar Pradesh,30.759532390000004,51.257783,48.15894608333334,50.8521713,44.488487,36.755427733333335,41.433903615384615,45.10371,32.62353335,34.180736,36.37472290909091,50.08963346111111,40.892606116239314,37.07067556477273,-9.1970273448718,-3.821930551466586,6.691857363358159,Low,34
Banas Kantha,Gujarat,34.98561469,59.6137695,53.93078775,59.2735322,57.377304,49.14245206666667,53.11242969230769,54.814953,35.8012778,38.00327333333333,36.84073413636364,57.60602981666667,53.21072858632479,41.36505956742425,-4.395301230341879,-11.845669018900544,8.400472824466117,Medium,11
Banda,Uttar Pradesh,31.176446570000003,55.586704,49.28082,53.617228,53.98408,42.5402732,48.06130823076923,44.92352,31.80028035,34.01652083333334,32.93404513636364,52.82825066666667,48.19522047692308,35.91859157992425,-4.633030189743593,-12.27662889699883,8.738012323974226,Low,34
Bandipora,Jammu & Kashmir,34.20248253333334,63.0595415,57.02507916666666,59.0181067,61.48921,52.2634168,57.74133653846154,50.215286,38.14265915,41.796524833333336,39.55141481818182,59.70090912222222,57.16465444615384,42.42647120037879,-2.5362546760683813,-14.738183245775048,9.327851116267754,Low,14
Banka,Bihar,33.70596805666666,47.3430135,44.17635666666666,47.389911,47.67209,36.12278413333333,37.435617538461536,40.73402,32.9727354,33.22883025,34.576074863636364,46.30309372222222,40.41016389059829,35.377915128409086,-5.892929831623931,-5.032248762189205,5.468236719329044,Low,4
Bankura,West Bengal,36.070024636666666,67.184055,62.49750425,63.3322683,57.316048,48.90948273333333,50.93117923076923,57.105637,39.3056099,43.65991391666666,43.266239954545455,64.33794251666666,52.385569988034185,45.83435019280303,-11.952372528632472,-6.551219795231155,9.382258245898496,Medium,36
Banswara,Rajasthan,39.05796205666666,68.02524600000001,62.8285425,66.2699384,56.23496,46.4511564,52.32165015384616,49.017006,38.98822305,36.44878808333333,41.23186854545455,65.70790896666666,51.66925551794872,41.42147141969697,-14.038653448717945,-10.24778409825175,12.192428786617544,High,29
Barabanki,Uttar Pradesh,32.63273523666667,57.3905335,51.29093,55.1785362,54.139027,42.861798,47.567256538461535,44.79829,30.2462082,33.37024975,34.6544175,54.6199999,48.18936051282051,35.7672913625,-6.430639387179497,-12.422069150320503,9.583714868664917,Low,34
Baragarh,Odisha,36.6296625,66.698125,60.18388725,63.0038512,53.118027,48.636165,47.99579376923077,53.939053,36.3402216,40.4193665,36.70260768181818,63.295287816666665,49.91666192307692,41.85031219545455,-13.378625893589742,-8.066349727622374,10.831594281878402,Medium,26
Baramula,Jammu & Kashmir,35.719652806666666,65.978315,57.318970416666666,62.8512466,59.884422,46.22198386666666,52.55197884615385,58.373047,37.6367889,47.14604616666667,42.786435,62.04951067222222,52.88612823760684,46.48557926666667,-9.16338243461538,-6.400548970940172,7.822729335822838,Medium,14
